date,feature_index,NO2
2020-06-01T00:00:00.000Z,0,
2020-06-02T00:00:00.000Z,0,
2020-05-31T00:00:00.000Z,0,
2020-06-15T00:00:00.000Z,0,3.534851384756621E-5
2020-06-14T00:00:00.000Z,0,
2020-06-13T00:00:00.000Z,0,4.220107049539885E-5
2020-06-16T00:00:00.000Z,0,2.0440374275774677E-5
2020-06-17T00:00:00.000Z,0,2.5783377753084225E-5
2020-06-12T00:00:00.000Z,0,3.970454080055268E-5
2020-06-18T00:00:00.000Z,0,2.945429020785793E-5
2020-06-11T00:00:00.000Z,0,5.888844965998682E-5
2020-06-20T00:00:00.000Z,0,3.9673454011790454E-5
2020-06-26T00:00:00.000Z,0,4.0410872251024034E-5
2020-06-23T00:00:00.000Z,0,2.869135200203995E-5
2020-06-24T00:00:00.000Z,0,2.2701372212655508E-5
2020-06-19T00:00:00.000Z,0,3.145344180666143E-5
2020-06-21T00:00:00.000Z,0,2.798862972971013E-5
2020-06-25T00:00:00.000Z,0,5.491751896139855E-5
2020-06-22T00:00:00.000Z,0,2.2954649547760448E-5
2020-06-30T00:00:00.000Z,0,
2020-06-27T00:00:00.000Z,0,4.3196449431499264E-5
2020-07-01T00:00:00.000Z,0,3.859533178131512E-5
2020-06-28T00:00:00.000Z,0,3.0222956671163308E-5
2020-07-02T00:00:00.000Z,0,2.786388647889128E-5
2020-07-03T00:00:00.000Z,0,2.5956456738640554E-5
2020-06-29T00:00:00.000Z,0,2.492494520213638E-5
2020-07-04T00:00:00.000Z,0,2.767479976942663E-5
2020-07-09T00:00:00.000Z,0,6.0431639970677985E-5
2020-07-05T00:00:00.000Z,0,1.4329356872622157E-5
2020-07-06T00:00:00.000Z,0,
2020-07-10T00:00:00.000Z,0,3.3499997633563385E-5
2020-07-07T00:00:00.000Z,0,2.0371332294206906E-5
2020-07-11T00:00:00.000Z,0,3.726397043075329E-5
2020-07-12T00:00:00.000Z,0,2.7453371071065442E-5
2020-07-08T00:00:00.000Z,0,3.4438231485485936E-5
2020-07-28T00:00:00.000Z,0,3.5958830786902194E-5
2020-07-24T00:00:00.000Z,0,2.9369698755285105E-5
