date,feature_index,NO2
2020-05-31 00:00:00+00:00,0,
2020-06-01 00:00:00+00:00,0,
2020-06-02 00:00:00+00:00,0,
2020-06-03 00:00:00+00:00,0,1.7467325700895992e-05
2020-06-04 00:00:00+00:00,0,2.1271231876848367e-05
2020-06-05 00:00:00+00:00,0,2.935641526034617e-05
2020-06-06 00:00:00+00:00,0,2.594319366835407e-05
2020-06-07 00:00:00+00:00,0,6.31858129054308e-05
2020-06-08 00:00:00+00:00,0,3.218133562248633e-05
2020-06-09 00:00:00+00:00,0,5.642834124349368e-05
2020-06-10 00:00:00+00:00,0,3.659352816092516e-05
2020-06-11 00:00:00+00:00,0,5.888844965998682e-05
2020-06-12 00:00:00+00:00,0,3.970454080055268e-05
2020-06-13 00:00:00+00:00,0,4.220107049539885e-05
2020-06-14 00:00:00+00:00,0,
2020-06-15 00:00:00+00:00,0,3.534851384756621e-05
2020-06-16 00:00:00+00:00,0,2.044037427577468e-05
2020-06-17 00:00:00+00:00,0,2.5783377753084225e-05
2020-06-18 00:00:00+00:00,0,2.945429020785793e-05
2020-06-19 00:00:00+00:00,0,3.145344180666143e-05
2020-06-20 00:00:00+00:00,0,3.967345401179045e-05
2020-06-21 00:00:00+00:00,0,2.798862972971013e-05
2020-06-22 00:00:00+00:00,0,2.2954649547760448e-05
2020-06-23 00:00:00+00:00,0,2.869135200203995e-05
2020-06-24 00:00:00+00:00,0,2.2701372212655508e-05
2020-06-25 00:00:00+00:00,0,5.491751896139855e-05
2020-06-26 00:00:00+00:00,0,4.0410872251024034e-05
2020-06-27 00:00:00+00:00,0,4.3196449431499264e-05
2020-06-28 00:00:00+00:00,0,3.0222956671163308e-05
2020-06-29 00:00:00+00:00,0,2.492494520213638e-05
2020-06-30 00:00:00+00:00,0,
2020-07-01 00:00:00+00:00,0,3.859533178131512e-05
2020-07-02 00:00:00+00:00,0,2.786388647889128e-05
2020-07-03 00:00:00+00:00,0,2.5956456738640558e-05
2020-07-04 00:00:00+00:00,0,2.767479976942663e-05
2020-07-05 00:00:00+00:00,0,1.4329356872622157e-05
2020-07-06 00:00:00+00:00,0,
2020-07-07 00:00:00+00:00,0,2.0371332294206903e-05
2020-07-08 00:00:00+00:00,0,3.4438231485485936e-05
2020-07-09 00:00:00+00:00,0,6.043163997067799e-05
2020-07-10 00:00:00+00:00,0,3.3499997633563385e-05
2020-07-11 00:00:00+00:00,0,3.726397043075329e-05
2020-07-12 00:00:00+00:00,0,2.745337107106544e-05
2020-07-13 00:00:00+00:00,0,1.8145783932206025e-05
2020-07-14 00:00:00+00:00,0,2.260581894526175e-05
2020-07-15 00:00:00+00:00,0,
2020-07-16 00:00:00+00:00,0,
2020-07-17 00:00:00+00:00,0,2.311135215547568e-05
2020-07-18 00:00:00+00:00,0,3.532668066392424e-05
2020-07-19 00:00:00+00:00,0,3.537351884525768e-05
2020-07-20 00:00:00+00:00,0,2.513911541817444e-05
2020-07-21 00:00:00+00:00,0,2.4434303408530207e-05
2020-07-22 00:00:00+00:00,0,2.727345456930509e-05
2020-07-23 00:00:00+00:00,0,3.1425805770725545e-05
2020-07-24 00:00:00+00:00,0,2.9369698755285105e-05
2020-07-25 00:00:00+00:00,0,4.6053814133171856e-05
2020-07-26 00:00:00+00:00,0,2.5540247081932777e-05
2020-07-27 00:00:00+00:00,0,4.595842022224263e-05
2020-07-28 00:00:00+00:00,0,3.5958830786902194e-05
2020-07-29 00:00:00+00:00,0,8.115064847515895e-05
2020-07-30 00:00:00+00:00,0,3.76111494395965e-05
2020-07-31 00:00:00+00:00,0,4.096045657726271e-05
2020-08-01 00:00:00+00:00,0,
2020-08-02 00:00:00+00:00,0,3.1715460653895905e-05
2020-08-03 00:00:00+00:00,0,3.514510050687628e-05
2020-08-04 00:00:00+00:00,0,6.805281165205608e-05
2020-08-05 00:00:00+00:00,0,5.346701861223361e-05
2020-08-06 00:00:00+00:00,0,2.71428144904868e-05
2020-08-07 00:00:00+00:00,0,5.629997824805535e-05
2020-08-08 00:00:00+00:00,0,3.717269737535389e-05
2020-08-09 00:00:00+00:00,0,1.9535981989195405e-05
2020-08-10 00:00:00+00:00,0,5.635690285998862e-06
2020-08-11 00:00:00+00:00,0,2.3264953947196213e-05
2020-08-12 00:00:00+00:00,0,2.474719940437353e-05
2020-08-13 00:00:00+00:00,0,3.624373228679664e-05
2020-08-14 00:00:00+00:00,0,4.088598741093717e-05
2020-08-15 00:00:00+00:00,0,2.42683514833126e-05
2020-08-16 00:00:00+00:00,0,1.8902355285328148e-05
2020-08-17 00:00:00+00:00,0,
2020-08-18 00:00:00+00:00,0,2.658210723893717e-05
2020-08-19 00:00:00+00:00,0,3.265706625045693e-05
2020-08-20 00:00:00+00:00,0,2.267524352343268e-05
2020-08-21 00:00:00+00:00,0,1.6267417631102683e-05
2020-08-22 00:00:00+00:00,0,1.9190256612741257e-05
2020-08-23 00:00:00+00:00,0,3.9293940842201535e-05
2020-08-24 00:00:00+00:00,0,2.130648176392112e-05
2020-08-25 00:00:00+00:00,0,2.3780588581498057e-05
2020-08-26 00:00:00+00:00,0,2.2954499205038053e-05
2020-08-27 00:00:00+00:00,0,2.4027945487757408e-05
2020-08-28 00:00:00+00:00,0,
2020-08-29 00:00:00+00:00,0,2.8076338237172293e-05
2020-08-30 00:00:00+00:00,0,2.8038431537424916e-05
2020-08-31 00:00:00+00:00,0,2.178323883693058e-05
2020-09-01 00:00:00+00:00,0,2.6486232075382888e-05
2020-09-02 00:00:00+00:00,0,
2020-09-03 00:00:00+00:00,0,2.8309951046269687e-05
2020-09-04 00:00:00+00:00,0,2.6801731564773945e-05
2020-09-05 00:00:00+00:00,0,3.172358460038335e-05
2020-09-06 00:00:00+00:00,0,2.3213254637864467e-05
2020-09-07 00:00:00+00:00,0,2.8223446601519493e-05
2020-09-08 00:00:00+00:00,0,2.777337151980776e-05
2020-09-09 00:00:00+00:00,0,2.881034983407257e-05
2020-09-10 00:00:00+00:00,0,3.3854578630000886e-05
2020-09-11 00:00:00+00:00,0,2.8059766216464205e-05
2020-09-12 00:00:00+00:00,0,3.089148354514951e-05
2020-09-13 00:00:00+00:00,0,3.76290938999903e-05
2020-09-14 00:00:00+00:00,0,2.5126894895168205e-05
2020-09-15 00:00:00+00:00,0,2.8683159645278726e-05
2020-09-16 00:00:00+00:00,0,3.739257376115087e-05
2020-09-17 00:00:00+00:00,0,2.7381763824710757e-05
2020-09-18 00:00:00+00:00,0,
2020-09-19 00:00:00+00:00,0,2.076397160115968e-05
2020-09-20 00:00:00+00:00,0,1.8922257757887045e-05
2020-09-21 00:00:00+00:00,0,3.581050467411322e-05
2020-09-22 00:00:00+00:00,0,5.58422732085871e-05
2020-09-23 00:00:00+00:00,0,2.5786997217177747e-05
2020-09-24 00:00:00+00:00,0,3.255301096162709e-05
2020-09-25 00:00:00+00:00,0,2.8749713822305368e-05
2020-09-26 00:00:00+00:00,0,3.0040458828547605e-05
2020-09-27 00:00:00+00:00,0,1.897962715702306e-05
2020-09-28 00:00:00+00:00,0,2.629609285317461e-05
2020-09-29 00:00:00+00:00,0,2.7350161547344343e-05
2020-09-30 00:00:00+00:00,0,2.284215770487208e-05
2020-10-01 00:00:00+00:00,0,2.67743201740294e-05
2020-10-02 00:00:00+00:00,0,2.126099266556244e-05
2020-10-03 00:00:00+00:00,0,2.6012935060342507e-05
2020-10-04 00:00:00+00:00,0,
2020-10-05 00:00:00+00:00,0,4.766373461149799e-05
2020-10-06 00:00:00+00:00,0,4.172637701620781e-05
2020-10-07 00:00:00+00:00,0,6.234907907907785e-05
2020-10-08 00:00:00+00:00,0,4.963140034103869e-05
2020-10-09 00:00:00+00:00,0,
2020-10-10 00:00:00+00:00,0,
2020-10-11 00:00:00+00:00,0,1.5441227528104457e-05
2020-10-12 00:00:00+00:00,0,2.8660174978410525e-05
2020-10-13 00:00:00+00:00,0,1.9441696654861774e-05
2020-10-14 00:00:00+00:00,0,3.5299656052042595e-05
2020-10-15 00:00:00+00:00,0,6.015255926935684e-05
2020-10-16 00:00:00+00:00,0,2.8057814753473004e-05
2020-10-17 00:00:00+00:00,0,1.923364516187576e-05
2020-10-18 00:00:00+00:00,0,
2020-10-19 00:00:00+00:00,0,
2020-10-20 00:00:00+00:00,0,
2020-10-21 00:00:00+00:00,0,
2020-10-22 00:00:00+00:00,0,6.139635437508472e-05
2020-10-23 00:00:00+00:00,0,5.723709364247043e-05
2020-10-24 00:00:00+00:00,0,4.575463468167332e-05
2020-10-25 00:00:00+00:00,0,1.923378522405983e-05
2020-10-26 00:00:00+00:00,0,
2020-10-27 00:00:00+00:00,0,9.824775146885909e-05
2020-10-28 00:00:00+00:00,0,3.0061017631461645e-05
2020-10-29 00:00:00+00:00,0,1.3072921319690067e-05
2020-10-30 00:00:00+00:00,0,
2020-10-31 00:00:00+00:00,0,
2020-11-01 00:00:00+00:00,0,3.5666806070366874e-05
2020-11-02 00:00:00+00:00,0,
2020-11-03 00:00:00+00:00,0,
2020-11-04 00:00:00+00:00,0,
2020-11-05 00:00:00+00:00,0,
2020-11-06 00:00:00+00:00,0,3.56254541447225e-05
2020-11-07 00:00:00+00:00,0,4.743954845512885e-05
2020-11-08 00:00:00+00:00,0,3.0146535989063397e-05
2020-11-09 00:00:00+00:00,0,5.456761768333048e-05
2020-11-10 00:00:00+00:00,0,2.968634167440801e-05
2020-11-11 00:00:00+00:00,0,2.031866733887e-05
2020-11-12 00:00:00+00:00,0,2.9287413001709085e-05
2020-11-13 00:00:00+00:00,0,
2020-11-14 00:00:00+00:00,0,
2020-11-15 00:00:00+00:00,0,
2020-11-16 00:00:00+00:00,0,1.914413873497064e-05
2020-11-17 00:00:00+00:00,0,3.288715704132171e-05
2020-11-18 00:00:00+00:00,0,1.7903116388749497e-05
